rank,batch,cmap name,dose,cell,score,up,down,instance_id
5280,727,tanespimycin,1 ?M,PC3,-0.547,-0.179,0.491,4449
5281,741,tiletamine,15 ?M,MCF7,-0.547,-0.207,0.464,6013
5282,677,S-propranolol,14 ?M,MCF7,-0.547,-0.129,0.542,3523
5283,24,NU-1025,100 ?M,MCF7,-0.547,-0.222,0.449,313
5284,705,rescinnamine,6 ?M,MCF7,-0.547,-0.154,0.517,4386
5285,705,harman,18 ?M,MCF7,-0.548,-0.234,0.438,4408
5286,626,tretinoin,1 ?M,MCF7,-0.548,-0.143,0.529,1636
5287,502,geldanamycin,1 ?M,MCF7,-0.548,-0.147,0.525,972
5288,637,scopolamine N-oxide,10 ?M,MCF7,-0.548,-0.153,0.519,2262
5289,644,vitexin,9 ?M,HL60,-0.548,-0.25,0.422,2155
5290,772,trapidil,19 ?M,MCF7,-0.548,-0.178,0.494,7475
5291,28,diclofenac,10 ?M,MCF7,-0.549,-0.127,0.546,333
5292,1093,IC-86621,1 ?M,PC3,-0.549,-0.215,0.458,7548
5293,732,dorzolamide,11 ?M,PC3,-0.549,-0.178,0.495,5785
5294,691,trichostatin A,100 nM,MCF7,-0.549,-0.183,0.49,4153
5295,637,thalidomide,15 ?M,MCF7,-0.549,-0.181,0.492,2258
5296,1074,CAY-10397,10 ?M,MCF7,-0.55,-0.249,0.425,7082
5297,513,sirolimus,100 nM,MCF7,-0.55,-0.186,0.488,1045
5298,733,natamycin,6 ?M,PC3,-0.55,-0.239,0.436,5809
5299,654,trichostatin A,100 nM,MCF7,-0.55,-0.141,0.533,3243
5300,619,doxepin,13 ?M,HL60,-0.55,-0.184,0.491,2384
5301,703,Prestwick-1080,15 ?M,PC3,-0.55,-0.181,0.494,4532
5302,725,tanespimycin,1 ?M,MCF7,-0.55,-0.194,0.48,5222
5303,670,trichostatin A,100 nM,MCF7,-0.551,-0.2,0.475,3428
5304,744,trichostatin A,100 nM,MCF7,-0.551,-0.201,0.474,6820
5305,709,palmatine,10 ?M,PC3,-0.551,-0.219,0.457,6612
5306,671,vidarabine,15 ?M,MCF7,-0.551,-0.178,0.498,3445
5307,96,arachidonic acid,10 ?M,MCF7,-0.552,-0.213,0.464,604
5308,766,aceclofenac,11 ?M,MCF7,-0.552,-0.208,0.469,7029
5309,1,metformin,1 mM,MCF7,-0.552,-0.137,0.539,4
5310,694,trimethylcolchicinic acid,12 ?M,MCF7,-0.552,-0.129,0.548,4787
5311,61,TTNPB,100 nM,PC3,-0.552,-0.349,0.328,451
5312,685,0179445-0000,10 ?M,MCF7,-0.553,-0.185,0.493,3630
5313,709,trichostatin A,100 nM,PC3,-0.553,-0.146,0.533,6609
5314,734,milrinone,19 ?M,PC3,-0.553,-0.199,0.48,5856
5315,622,glibenclamide,8 ?M,HL60,-0.554,-0.202,0.477,1546
5316,630,chlorprothixene,11 ?M,HL60,-0.554,-0.179,0.5,1272
5317,732,tropine,28 ?M,PC3,-0.554,-0.147,0.532,5790
5318,757,15-delta prostaglandin J2,10 ?M,MCF7,-0.554,-0.133,0.547,5591
5319,637,trichostatin A,100 nM,MCF7,-0.554,-0.278,0.401,2268
5320,649,eucatropine,12 ?M,HL60,-0.554,-0.16,0.52,2556
5321,1049,PF-00562151-00,10 ?M,MCF7,-0.555,-0.113,0.567,6868
5322,662,isocorydine,12 ?M,MCF7,-0.555,-0.24,0.44,2780
5323,752,ramifenazone,14 ?M,MCF7,-0.555,-0.168,0.512,6097
5324,738,bufexamac,18 ?M,MCF7,-0.555,-0.125,0.556,5515
5325,676,cefalonium,9 ?M,MCF7,-0.555,-0.19,0.49,7341
5326,1007,trichostatin A,1 ?M,PC3,-0.556,-0.194,0.487,5940
5327,673,doxazosin,7 ?M,MCF7,-0.556,-0.149,0.532,3363
5328,613,haloperidol,11 ?M,HL60,-0.556,-0.211,0.471,2039
5329,658,Prestwick-864,35 ?M,HL60,-0.556,-0.28,0.401,2994
5330,645,eldeline,8 ?M,HL60,-0.556,-0.247,0.435,2171
5331,657,trichostatin A,100 nM,MCF7,-0.556,-0.186,0.496,2881
5332,677,asiaticoside,4 ?M,MCF7,-0.557,-0.117,0.566,3504
5333,732,naltrexone,10 ?M,PC3,-0.557,-0.195,0.488,5765
5334,741,nifenazone,13 ?M,MCF7,-0.557,-0.219,0.463,6016
5335,660,rolipram,15 ?M,HL60,-0.557,-0.26,0.423,3072
5336,762,epirizole,17 ?M,PC3,-0.558,-0.214,0.469,7292
5337,738,deptropine,8 ?M,MCF7,-0.558,-0.198,0.486,5543
5338,53,trifluoperazine,10 ?M,MCF7,-0.558,-0.165,0.519,421
5339,622,methylprednisolone,11 ?M,HL60,-0.558,-0.159,0.526,1567
5340,682,0317956-0000,1 ?M,PC3,-0.558,-0.114,0.571,3777
5341,719,resveratrol,18 ?M,PC3,-0.559,-0.121,0.564,5084
5342,632,pyrimethamine,16 ?M,MCF7,-0.559,-0.177,0.508,1474
5343,660,etynodiol,10 ?M,HL60,-0.559,-0.199,0.486,3102
5344,1004,pioglitazone,10 ?M,MCF7,-0.559,-0.145,0.54,5925
5345,634,bisacodyl,11 ?M,HL60,-0.559,-0.18,0.506,2435
5346,1002,rotenone,1 ?M,MCF7,-0.559,-0.117,0.568,5915
5347,673,ethaverine,9 ?M,MCF7,-0.559,-0.138,0.548,3375
5348,648,sulfapyridine,16 ?M,HL60,-0.559,-0.114,0.572,2538
5349,631,meclocycline,6 ?M,HL60,-0.559,-0.132,0.554,1341
5350,660,tonzonium bromide,7 ?M,HL60,-0.56,-0.135,0.551,3080
5351,633,chlorhexidine,8 ?M,MCF7,-0.56,-0.213,0.473,1525
5352,678,methanthelinium bromide,10 ?M,MCF7,-0.56,-0.133,0.554,3560
5353,713,cefalexin,11 ?M,PC3,-0.561,-0.203,0.484,4654
5354,634,progesterone,13 ?M,HL60,-0.561,-0.289,0.399,2426
5355,1003,thioridazine,10 ?M,PC3,-0.561,-0.158,0.53,5921
5356,686,ethisterone,13 ?M,MCF7,-0.562,-0.149,0.541,3864
5357,619,pergolide,10 ?M,HL60,-0.563,-0.151,0.539,2403
5358,617,nimesulide,13 ?M,PC3,-0.563,-0.259,0.431,2112
5359,708,trichostatin A,100 nM,MCF7,-0.563,-0.211,0.479,5693
5360,29,nitrendipine,10 ?M,MCF7,-0.563,-0.231,0.459,336
5361,772,tetracaine,13 ?M,MCF7,-0.563,-0.209,0.481,7473
5362,691,sanguinarine,12 ?M,MCF7,-0.563,-0.174,0.517,4168
5363,672,liothyronine,6 ?M,MCF7,-0.563,-0.12,0.571,3324
5364,673,rolitetracycline,8 ?M,MCF7,-0.564,-0.13,0.561,3369
5365,640,thiocolchicoside,7 ?M,HL60,-0.564,-0.233,0.458,1726
5366,630,oxantel,7 ?M,HL60,-0.564,-0.185,0.507,1277
5367,622,albendazole,15 ?M,HL60,-0.565,-0.25,0.443,1547
5368,65,rofecoxib,10 ?M,PC3,-0.565,-0.246,0.447,463
5369,75,gefitinib,10 ?M,HL60,-0.565,-0.175,0.518,541
5370,762,triamterene,16 ?M,PC3,-0.565,-0.156,0.536,7307
5371,651,isopropamide iodide,8 ?M,HL60,-0.565,-0.116,0.578,2720
5372,619,glafenine,10 ?M,HL60,-0.566,-0.161,0.533,2387
5373,748,milrinone,19 ?M,MCF7,-0.566,-0.149,0.545,7210
5374,748,glibenclamide,8 ?M,MCF7,-0.566,-0.115,0.579,7202
5375,634,serotonin,19 ?M,HL60,-0.566,-0.197,0.496,2449
5376,741,iobenguane,11 ?M,MCF7,-0.566,-0.128,0.566,6002
5377,618,ethisterone,13 ?M,HL60,-0.566,-0.223,0.471,2366
5378,735,esculin,12 ?M,MCF7,-0.566,-0.182,0.512,5411
5379,631,lumicolchicine,10 ?M,HL60,-0.566,-0.173,0.521,1317
5380,658,etidronic acid,16 ?M,HL60,-0.566,-0.204,0.49,2985
5381,654,7-aminocephalosporanic acid,15 ?M,MCF7,-0.566,-0.208,0.486,3258
5382,746,saquinavir,5 ?M,MCF7,-0.566,-0.197,0.498,6246
5383,635,phenacetin,22 ?M,HL60,-0.566,-0.182,0.513,2471
5384,626,valproic acid,50 ?M,MCF7,-0.567,-0.154,0.54,1647
5385,678,azaperone,12 ?M,MCF7,-0.567,-0.218,0.476,3573
5386,96,nifedipine,10 ?M,MCF7,-0.567,-0.217,0.478,603
5387,757,tretinoin,1 ?M,MCF7,-0.567,-0.151,0.544,5571
5388,701,finasteride,11 ?M,PC3,-0.567,-0.197,0.498,4300
5389,631,fusaric acid,22 ?M,HL60,-0.567,-0.255,0.44,1308
5390,636,diazoxide,17 ?M,MCF7,-0.568,-0.236,0.46,2214
5391,612,oxetacaine,9 ?M,HL60,-0.568,-0.216,0.481,1984
5392,731,chloropyrazine,35 ?M,PC3,-0.569,-0.232,0.465,5750
5393,731,tranexamic acid,25 ?M,PC3,-0.569,-0.289,0.409,5762
5394,657,chloroquine,8 ?M,MCF7,-0.569,-0.161,0.537,2869
5395,727,tretinoin,1 ?M,PC3,-0.569,-0.279,0.419,4435
5396,654,metrizamide,5 ?M,MCF7,-0.569,-0.182,0.516,3255
5397,1030,5707885,50 ?M,MCF7,-0.569,-0.174,0.524,6433
5398,754,doxepin,13 ?M,PC3,-0.569,-0.188,0.51,6337
5399,651,amrinone,21 ?M,HL60,-0.569,-0.247,0.451,2724
5400,665,piribedil,12 ?M,HL60,-0.569,-0.115,0.583,2951
5401,714,debrisoquine,9 ?M,PC3,-0.57,-0.271,0.428,6688
5402,618,tropicamide,14 ?M,HL60,-0.57,-0.158,0.54,2347
5403,703,camptothecin,11 ?M,PC3,-0.57,-0.259,0.44,4541
5404,626,geldanamycin,1 ?M,MCF7,-0.57,-0.207,0.492,1653
5405,718,diprophylline,16 ?M,PC3,-0.57,-0.128,0.571,5063
5406,695,salsolinol,15 ?M,MCF7,-0.57,-0.14,0.559,4816
5407,695,(+/-)-catechin,14 ?M,MCF7,-0.571,-0.191,0.509,4837
5408,613,verapamil,8 ?M,HL60,-0.571,-0.162,0.537,2009
5409,619,fenofibrate,11 ?M,HL60,-0.571,-0.231,0.469,2401
5410,750,tanespimycin,1 ?M,HL60,-0.571,-0.137,0.563,6166
5411,612,troleandomycin,5 ?M,HL60,-0.571,-0.209,0.491,1965
5412,703,diethylstilbestrol,15 ?M,PC3,-0.571,-0.296,0.404,4547
5413,734,delsoline,9 ?M,PC3,-0.572,-0.119,0.581,5858
5414,750,tanespimycin,1 ?M,HL60,-0.572,-0.171,0.53,6185
5415,635,cefaclor,10 ?M,HL60,-0.572,-0.195,0.506,2483
5416,695,7-aminocephalosporanic acid,15 ?M,MCF7,-0.572,-0.16,0.541,4826
5417,1095,CP-863187,10 ?M,PC3,-0.572,-0.205,0.497,7558
5418,758,trichostatin A,100 nM,MCF7,-0.572,-0.206,0.496,5625
5419,1095,vinblastine,100 nM,PC3,-0.572,-0.22,0.482,7556
5420,33,valproic acid,2 mM,MCF7,-0.573,-0.211,0.491,346
5421,757,vorinostat,10 ?M,MCF7,-0.573,-0.188,0.514,5580
5422,748,neomycin,4 ?M,MCF7,-0.573,-0.165,0.538,7221
5423,772,trichostatin A,100 nM,MCF7,-0.573,-0.218,0.485,7453
5424,626,valproic acid,200 ?M,MCF7,-0.573,-0.203,0.5,1639
5425,752,cefalotin,10 ?M,MCF7,-0.573,-0.18,0.523,6079
5426,725,fulvestrant,10 nM,MCF7,-0.575,-0.22,0.485,5235
5427,653,trichostatin A,100 nM,MCF7,-0.576,-0.132,0.574,2639
5428,756,deptropine,8 ?M,MCF7,-0.576,-0.245,0.462,6523
5429,640,cyclizine,13 ?M,HL60,-0.576,-0.195,0.511,1731
5430,764,sulfapyridine,16 ?M,PC3,-0.576,-0.221,0.485,7151
5431,640,scoulerine,12 ?M,HL60,-0.577,-0.175,0.532,1742
5432,733,iopamidol,5 ?M,PC3,-0.577,-0.167,0.54,5832
5433,772,pimethixene,10 ?M,MCF7,-0.577,-0.209,0.498,7468
5434,651,azlocillin,8 ?M,HL60,-0.577,-0.166,0.542,2727
5435,617,aztreonam,9 ?M,PC3,-0.577,-0.21,0.498,2118
5436,646,tretinoin,13 ?M,MCF7,-0.577,-0.157,0.551,3165
5437,761,mecamylamine,20 ?M,PC3,-0.577,-0.281,0.427,7263
5438,734,ramifenazone,14 ?M,PC3,-0.577,-0.174,0.534,5879
5439,1,metformin,100 nM,MCF7,-0.577,-0.17,0.538,3
5440,626,fulvestrant,10 nM,MCF7,-0.578,-0.236,0.472,1663
5441,758,alfuzosin,9 ?M,MCF7,-0.578,-0.111,0.598,5605
5442,757,fulvestrant,1 ?M,MCF7,-0.578,-0.213,0.496,5565
5443,646,guanethidine,13 ?M,MCF7,-0.578,-0.264,0.445,3171
5444,703,fenbendazole,13 ?M,PC3,-0.578,-0.214,0.495,4542
5445,1080,semustine,100 ?M,MCF7,-0.578,-0.117,0.592,7487
5446,726,alfuzosin,9 ?M,MCF7,-0.578,-0.163,0.546,5242
5447,661,Prestwick-981,11 ?M,HL60,-0.579,-0.253,0.456,3125
5448,676,trichostatin A,100 nM,MCF7,-0.579,-0.255,0.455,7324
5449,694,roxithromycin,5 ?M,MCF7,-0.579,-0.132,0.577,4778
5450,1088,pioglitazone,10 ?M,MCF7,-0.579,-0.22,0.491,7523
5451,692,mestranol,13 ?M,PC3,-0.579,-0.163,0.547,4208
5452,678,Prestwick-1085,15 ?M,MCF7,-0.58,-0.244,0.467,3554
5453,690,amiloride,13 ?M,MCF7,-0.58,-0.173,0.538,4109
5454,695,SR-95531,11 ?M,MCF7,-0.581,-0.119,0.592,4820
5455,654,calcium pantothenate,8 ?M,MCF7,-0.581,-0.164,0.549,3248
5456,747,ticarcillin,9 ?M,MCF7,-0.581,-0.207,0.506,7185
5457,648,anabasine,25 ?M,HL60,-0.581,-0.14,0.573,2512
5458,662,ipratropium bromide,10 ?M,MCF7,-0.581,-0.143,0.57,2762
5459,705,novobiocin,6 ?M,MCF7,-0.581,-0.233,0.48,4392
5460,645,diphenylpyraline,13 ?M,HL60,-0.582,-0.225,0.489,2205
5461,661,remoxipride,10 ?M,HL60,-0.582,-0.159,0.555,3124
5462,655,biotin,16 ?M,MCF7,-0.583,-0.24,0.474,3289
5463,628,amitriptyline,13 ?M,PC3,-0.584,-0.293,0.423,1823
5464,506,clozapine,10 ?M,MCF7,-0.584,-0.165,0.55,1009
5465,743,nocodazole,13 ?M,MCF7,-0.584,-0.144,0.572,6793
5466,730,fusidic acid,7 ?M,MCF7,-0.584,-0.215,0.501,5353
5467,659,paracetamol,26 ?M,HL60,-0.584,-0.223,0.493,3025
5468,644,xylazine,18 ?M,HL60,-0.585,-0.222,0.495,2132
5469,766,etamivan,18 ?M,MCF7,-0.585,-0.177,0.54,7021
5470,658,propantheline bromide,9 ?M,HL60,-0.585,-0.144,0.573,3013
5471,55,rosiglitazone,10 ?M,PC3,-0.585,-0.33,0.387,430
5472,626,trichostatin A,1 ?M,MCF7,-0.585,-0.238,0.479,1659
5473,738,sulfadiazine,16 ?M,MCF7,-0.585,-0.157,0.56,5523
5474,764,yohimbine,10 ?M,PC3,-0.585,-0.249,0.469,7130
5475,678,natamycin,6 ?M,MCF7,-0.585,-0.213,0.504,3548
5476,637,gemfibrozil,16 ?M,MCF7,-0.585,-0.219,0.498,2277
5477,713,methyldopa,19 ?M,PC3,-0.585,-0.299,0.419,4677
5478,728,stachydrine,22 ?M,PC3,-0.586,-0.139,0.579,4469
5479,1002,PF-00562151-00,10 ?M,MCF7,-0.586,-0.193,0.525,5917
5480,623,etoposide,7 ?M,HL60,-0.586,-0.239,0.48,1626
5481,1049,fulvestrant,1 ?M,MCF7,-0.587,-0.225,0.495,6872
5482,645,acacetin,14 ?M,HL60,-0.587,-0.252,0.467,2189
5483,1071,MS-275,10 ?M,PC3,-0.587,-0.178,0.542,7074
5484,700,demeclocycline,8 ?M,MCF7,-0.588,-0.205,0.515,4728
5485,694,conessine,11 ?M,MCF7,-0.588,-0.188,0.533,4777
5486,513,geldanamycin,1 ?M,MCF7,-0.588,-0.239,0.481,1066
5487,741,pivmecillinam,8 ?M,MCF7,-0.588,-0.192,0.529,6014
5488,631,levothyroxine sodium,5 ?M,HL60,-0.588,-0.239,0.482,1312
5489,1040,alprostadil,10 ?M,PC3,-0.588,-0.329,0.392,6571
5490,671,methazolamide,17 ?M,MCF7,-0.588,-0.285,0.436,3474
5491,645,heliotrine,13 ?M,HL60,-0.588,-0.153,0.569,2180
5492,672,theophylline,20 ?M,MCF7,-0.588,-0.154,0.568,3326
5493,107,nocodazole,1 ?M,MCF7,-0.589,-0.287,0.435,621
5494,29,nifedipine,10 ?M,MCF7,-0.589,-0.218,0.504,335
5495,771,pergolide,10 ?M,MCF7,-0.589,-0.177,0.545,7434
5496,738,thiocolchicoside,7 ?M,MCF7,-0.589,-0.15,0.572,5520
5497,1088,suramin sodium,10 ?M,MCF7,-0.589,-0.183,0.539,7524
5498,693,cetirizine,9 ?M,PC3,-0.589,-0.245,0.478,4231
5499,19,rofecoxib,10 ?M,MCF7,-0.59,-0.312,0.411,256
5500,703,citalopram,1 ?M,PC3,-0.59,-0.223,0.499,4555
5501,672,etidronic acid,16 ?M,MCF7,-0.59,-0.153,0.571,3325
5502,1005,PF-00875133-00,10 ?M,PC3,-0.59,-0.273,0.45,5928
5503,695,seneciphylline,12 ?M,MCF7,-0.59,-0.136,0.588,4822
5504,691,corticosterone,12 ?M,MCF7,-0.59,-0.228,0.496,4145
5505,1078,6-bromoindirubin-3'-oxime,500 nM,MCF7,-0.59,-0.13,0.593,7101
5506,637,levamisole,17 ?M,MCF7,-0.591,-0.224,0.5,2257
5507,758,testosterone,12 ?M,MCF7,-0.591,-0.119,0.605,5636
5508,644,succinylsulfathiazole,11 ?M,HL60,-0.591,-0.139,0.585,2166
5509,719,hyoscyamine,14 ?M,PC3,-0.591,-0.226,0.499,5099
5510,737,loracarbef,11 ?M,MCF7,-0.591,-0.209,0.516,5492
5511,756,proxymetacaine,12 ?M,MCF7,-0.592,-0.267,0.458,6492
5512,75,monorden,100 nM,HL60,-0.592,-0.186,0.54,544
5513,649,sulfadimidine,13 ?M,HL60,-0.593,-0.133,0.594,2560
5514,714,paclitaxel,5 ?M,PC3,-0.593,-0.138,0.589,6720
5515,705,N-acetylmuramic acid,14 ?M,MCF7,-0.593,-0.186,0.542,4406
5516,745,sulfametoxydiazine,14 ?M,MCF7,-0.593,-0.141,0.586,6212
5517,654,digitoxigenin,11 ?M,MCF7,-0.593,-0.113,0.615,3275
5518,649,spiramycin,5 ?M,HL60,-0.594,-0.279,0.449,2558
5519,648,tetryzoline,17 ?M,HL60,-0.594,-0.172,0.556,2507
5520,752,Prestwick-689,10 ?M,MCF7,-0.594,-0.138,0.59,6076
5521,744,cyproterone,10 ?M,MCF7,-0.594,-0.162,0.566,6806
5522,649,demeclocycline,8 ?M,HL60,-0.595,-0.152,0.577,2545
5523,634,colecalciferol,10 ?M,HL60,-0.595,-0.16,0.569,2436
5524,502,pyrvinium,1 ?M,MCF7,-0.595,-0.234,0.495,978
5525,744,verteporfin,3 ?M,MCF7,-0.595,-0.146,0.584,6817
5526,690,ginkgolide A,10 ?M,MCF7,-0.595,-0.188,0.542,4121
5527,513,chlorpromazine,1 ?M,MCF7,-0.595,-0.178,0.552,1055
5528,618,mebendazole,14 ?M,HL60,-0.595,-0.224,0.505,2338
5529,514,DL-PPMP,2 ?M,MCF7,-0.595,-0.199,0.531,1121
5530,1076,fulvestrant,1 ?M,MCF7,-0.596,-0.228,0.502,7091
5531,703,oxaprozin,14 ?M,PC3,-0.596,-0.232,0.499,4530
5532,757,valproic acid,50 ?M,MCF7,-0.596,-0.129,0.602,5582
5533,705,paromomycin,6 ?M,MCF7,-0.596,-0.138,0.593,4420
5534,672,iodixanol,3 ?M,MCF7,-0.596,-0.263,0.468,3362
5535,602,tanespimycin,1 ?M,HL60,-0.596,-0.117,0.615,1147
5536,736,budesonide,9 ?M,MCF7,-0.596,-0.235,0.496,5431
5537,682,indapamide,11 ?M,PC3,-0.596,-0.118,0.613,3778
5538,642,nalidixic acid,15 ?M,MCF7,-0.596,-0.125,0.606,2297
5539,700,0179445-0000,10 ?M,MCF7,-0.597,-0.141,0.591,4755
5540,752,ricinine,24 ?M,MCF7,-0.597,-0.194,0.539,6067
5541,757,geldanamycin,1 ?M,MCF7,-0.598,-0.159,0.573,5588
5542,676,sitosterol,10 ?M,MCF7,-0.598,-0.239,0.493,7332
5543,646,mepacrine,8 ?M,MCF7,-0.598,-0.144,0.589,3179
5544,765,monorden,100 nM,MCF7,-0.598,-0.28,0.453,6979
5545,726,enoxacin,12 ?M,MCF7,-0.598,-0.172,0.562,5251
5546,709,lactobionic acid,11 ?M,PC3,-0.599,-0.216,0.518,6605
5547,650,valproic acid,500 ?M,HL60,-0.599,-0.275,0.459,2700
5548,705,levodopa,20 ?M,MCF7,-0.599,-0.184,0.551,4394
5549,660,aminohippuric acid,21 ?M,HL60,-0.599,-0.131,0.603,3076
5550,28,trichostatin A,100 nM,MCF7,-0.599,-0.31,0.425,331
5551,1000,AG-013608,10 ?M,MCF7,-0.6,-0.148,0.587,5904
5552,736,tolfenamic acid,15 ?M,MCF7,-0.6,-0.207,0.528,5454
5553,651,carbinoxamine,10 ?M,HL60,-0.6,-0.178,0.558,2725
5554,765,fulvestrant,1 ?M,MCF7,-0.6,-0.173,0.563,6965
5555,766,disopyramide,12 ?M,MCF7,-0.6,-0.209,0.527,7035
5556,771,glafenine,10 ?M,MCF7,-0.6,-0.132,0.604,7418
5557,659,esculin,12 ?M,HL60,-0.6,-0.108,0.628,3052
5558,678,Prestwick-1084,16 ?M,MCF7,-0.601,-0.242,0.494,3546
5559,749,cyclopentolate,12 ?M,HL60,-0.601,-0.156,0.58,6132
5560,40,genistein,10 ?M,MCF7,-0.601,-0.234,0.503,382
5561,677,roxarsone,15 ?M,MCF7,-0.601,-0.23,0.507,3511
5562,718,isometheptene,8 ?M,PC3,-0.601,-0.261,0.477,5082
5563,71,sodium phenylbutyrate,200 ?M,SKMEL5,-0.602,-0.201,0.536,502
5564,692,gabexate,10 ?M,PC3,-0.602,-0.241,0.496,4220
5565,654,corticosterone,12 ?M,MCF7,-0.602,-0.223,0.514,3244
5566,506,vorinostat,10 ?M,MCF7,-0.602,-0.174,0.564,1000
5567,671,hexylcaine,13 ?M,MCF7,-0.602,-0.213,0.525,3447
5568,641,tetrahydroalstonine,11 ?M,HL60,-0.602,-0.3,0.438,1756
5569,36,estradiol,100 nM,MCF7,-0.603,-0.193,0.546,365
5570,670,meclofenoxate,14 ?M,MCF7,-0.603,-0.163,0.576,3405
5571,755,N-acetyl-L-leucine,23 ?M,MCF7,-0.603,-0.209,0.53,6462
5572,642,dilazep,6 ?M,MCF7,-0.603,-0.134,0.605,2294
5573,685,6-benzylaminopurine,18 ?M,MCF7,-0.603,-0.197,0.542,3623
5574,646,fipexide,9 ?M,MCF7,-0.603,-0.196,0.544,3176
5575,661,azapropazone,13 ?M,HL60,-0.604,-0.326,0.414,3143
5576,734,abamectin,5 ?M,PC3,-0.604,-0.128,0.612,5864
5577,719,adipiodone,4 ?M,PC3,-0.604,-0.186,0.554,5085
5578,645,Prestwick-675,10 ?M,HL60,-0.604,-0.138,0.603,2187
5579,734,convolamine,12 ?M,PC3,-0.604,-0.195,0.547,5876
5580,656,thiostrepton,2 ?M,MCF7,-0.605,-0.203,0.538,2823
5581,713,trichostatin A,100 nM,PC3,-0.605,-0.246,0.496,4665
5582,678,sertaconazole,8 ?M,MCF7,-0.605,-0.198,0.544,3550
5583,733,streptozocin,15 ?M,PC3,-0.605,-0.231,0.511,5836
5584,513,alvespimycin,100 nM,MCF7,-0.606,-0.151,0.592,1051
5585,644,galantamine,11 ?M,HL60,-0.606,-0.261,0.481,2131
5586,748,nadide,6 ?M,MCF7,-0.606,-0.17,0.573,7227
5587,699,nitrofurantoin,17 ?M,MCF7,-0.606,-0.274,0.469,4697
5588,706,theobromine,22 ?M,MCF7,-0.606,-0.117,0.626,4958
5589,662,dacarbazine,22 ?M,MCF7,-0.606,-0.133,0.61,2754
5590,506,fulvestrant,1 ?M,MCF7,-0.606,-0.13,0.613,985
5591,772,etomidate,16 ?M,MCF7,-0.606,-0.152,0.592,7460
5592,655,doxorubicin,7 ?M,MCF7,-0.606,-0.147,0.596,3291
5593,709,methoxamine,16 ?M,PC3,-0.607,-0.331,0.413,6627
5594,745,gallamine triethiodide,4 ?M,MCF7,-0.608,-0.144,0.601,6215
5595,756,Prestwick-920,14 ?M,MCF7,-0.608,-0.146,0.599,6497
5596,767,tanespimycin,1 ?M,MCF7,-0.608,-0.263,0.482,6937
5597,654,mebhydrolin,5 ?M,MCF7,-0.608,-0.145,0.601,3269
5598,728,diperodon,9 ?M,PC3,-0.608,-0.254,0.491,4498
5599,642,sulfamethoxazole,16 ?M,MCF7,-0.608,-0.144,0.602,2296
5600,678,piperidolate,11 ?M,MCF7,-0.608,-0.163,0.583,3551
5601,506,valproic acid,1 mM,MCF7,-0.609,-0.084,0.662,989
5602,33,valproic acid,10 mM,MCF7,-0.609,-0.189,0.558,345
5603,628,sulfacetamide,16 ?M,PC3,-0.609,-0.248,0.499,1817
5604,705,beclometasone,8 ?M,MCF7,-0.609,-0.185,0.562,4403
5605,703,tolbutamide,15 ?M,PC3,-0.609,-0.35,0.397,4540
5606,687,CP-320650-01,1 ?M,MCF7,-0.609,-0.085,0.662,3908
5607,645,flunisolide,9 ?M,HL60,-0.61,-0.108,0.64,2168
5608,1009,monorden,100 nM,PC3,-0.61,-0.284,0.464,5952
5609,706,daunorubicin,7 ?M,MCF7,-0.61,-0.21,0.538,4983
5610,651,securinine,18 ?M,HL60,-0.61,-0.186,0.562,2729
5611,678,milrinone,19 ?M,MCF7,-0.61,-0.13,0.618,3552
5612,506,valproic acid,500 ?M,MCF7,-0.61,-0.217,0.531,1020
5613,622,alprenolol,14 ?M,HL60,-0.61,-0.211,0.538,1571
5614,694,spectinomycin,10 ?M,MCF7,-0.61,-0.107,0.642,4773
5615,678,saquinavir,5 ?M,MCF7,-0.611,-0.233,0.516,3549
5616,654,piperine,14 ?M,MCF7,-0.611,-0.193,0.556,3263
5617,703,quinethazone,14 ?M,PC3,-0.611,-0.193,0.556,4529
5618,694,atovaquone,11 ?M,MCF7,-0.611,-0.173,0.576,4786
5619,695,R-atenolol,15 ?M,MCF7,-0.611,-0.229,0.52,4841
5620,615,chlorzoxazone,24 ?M,HL60,-0.612,-0.277,0.473,1416
5621,708,doxorubicin,7 ?M,MCF7,-0.612,-0.194,0.556,5671
5622,662,DL-thiorphan,16 ?M,MCF7,-0.612,-0.135,0.615,2752
5623,660,desoxycortone,12 ?M,HL60,-0.613,-0.174,0.577,3099
5624,755,clioquinol,13 ?M,MCF7,-0.613,-0.248,0.503,6461
5625,657,laudanosine,11 ?M,MCF7,-0.613,-0.136,0.615,2890
5626,649,dicoumarol,12 ?M,HL60,-0.613,-0.16,0.591,2561
5627,730,cyproheptadine,12 ?M,MCF7,-0.613,-0.152,0.6,5340
5628,748,vidarabine,15 ?M,MCF7,-0.613,-0.209,0.543,7203
5629,714,florfenicol,11 ?M,PC3,-0.614,-0.125,0.627,6701
5630,611,guanabenz,14 ?M,PC3,-0.614,-0.262,0.491,1961
5631,642,nitrofurantoin,17 ?M,MCF7,-0.615,-0.156,0.598,2303
5632,757,tanespimycin,1 ?M,MCF7,-0.615,-0.123,0.631,5586
5633,687,quinethazone,14 ?M,MCF7,-0.615,-0.279,0.475,3875
5634,62,prochlorperazine,10 ?M,MCF7,-0.615,-0.287,0.467,455
5635,750,vorinostat,10 ?M,HL60,-0.615,-0.216,0.539,6179
