"","eff_length"
"MYBPH",1805
"MYBPHL",1372
"MYC",2364
"MYCBP",2818
"MYCBP2",14736
"MYCBP2-AS1",834
"MYCBP2-AS2",428
"MYCBPAP",3186
"MYCL",3256
"MYCLP1",1075
"MYCLP2",967
"MYCN",2602
"MYCNOS",1313
"MYCNUT",1039
"MYCT1",3030
"MYD88",3314
"MYDGF",1018
"MYEF2",10360
"MYEOV",2468
"MYF5",1542
"MYF6",1465
"MYH1",6024
"MYH10",7762
"MYH11",6941
"MYH13",6296
"MYH14",6896
"MYH15",7074
"MYH16",6294
"MYH2",6339
"MYH3",6037
"MYH4",6016
"MYH6",5941
"MYH7",6087
"MYH7B",6293
"MYH8",6041
"MYH9",7501
"MYHAS",2274
"MYL1",1065
"MYL10",1009
"MYL12A",1229
"MYL12AP1",515
"MYL12B",1249
"MYL12BP1",507
"MYL12BP2",512
"MYL2",807
"MYL3",1012
"MYL4",920
"MYL5",2956
"MYL6",1564
"MYL6B",1305
"MYL6BP1",615
"MYL6P1",453
"MYL6P2",434
"MYL6P3",432
"MYL6P4",453
"MYL6P5",459
"MYL7",791
"MYL8P",518
"MYL9",2821
"MYLIP",2796
"MYLK",10027
"MYLK-AS1",760
"MYLK-AS2",754
"MYLK2",2956
"MYLK3",6911
"MYLK4",5806
"MYLKP1",1580
"MYLPF",682
"MYMK",818
"MYMX",817
"MYNN",4999
"MYO10",11456
"MYO15A",11863
"MYO15B",9408
"MYO16",7436
"MYO16-AS1",580
"MYO16-AS2",436
"MYO18A",7597
"MYO18B",8565
"MYO19",5743
"MYO1A",3658
"MYO1B",5082
"MYO1C",5145
"MYO1D",5563
"MYO1E",8673
"MYO1F",4303
"MYO1G",5672
"MYO1H",4364
"MYO3A",5581
"MYO3B",5529
"MYO3B-AS1",983
"MYO5A",12225
"MYO5B",9505
"MYO5BP1",1239
"MYO5BP2",1277
"MYO5BP3",1279
"MYO5C",6971
"MYO6",8692
"MYO7A",7462
"MYO7B",6715
"MYO9A",12411
"MYO9B",7623
"MYOC",2095
"MYOCD",8466
"MYOD1",1801
"MYOF",6719
"MYOG",1528
"MYOM1",5847
"MYOM2",5014
"MYOM3",5804
"MYORG",6398
"MYOSLID",974
"MYOT",2337
"MYOZ1",1541
"MYOZ2",2597
"MYOZ3",3445
"MYPN",6116
"MYPOP",1890
"MYRF",5927
"MYRF-AS1",2466
"MYRFL",3465
"MYRIP",5077
"MYSM1",7793
"MYT1",5614
"MYT1L",7063
"MYT1L-AS1",3230
"MYZAP",2361
"MZB1",1887
"MZF1",3261
"MZF1-AS1",2567
"MZT1",2299
"MZT1P1",246
"MZT1P2",248
"MZT2A",2826
"MZT2B",933
"N4BP1",7106
"N4BP2",9747
"N4BP2L1",3046
"N4BP2L2",9427
"N4BP2L2-IT2",4890
"N4BP3",6080
"N6AMT1",4865
"NAA10",1772
"NAA11",2014
"NAA15",6222
"NAA16",4347
"NAA20",1604
"NAA25",6010
"NAA30",7644
"NAA35",2649
"NAA38",999
"NAA40",4707
"NAA50",6135
"NAA60",2735
"NAA80",1820
"NAAA",1900
"NAALAD2",3600
"NAALADL1",2699
"NAALADL2",9865
"NAALADL2-AS1",804
"NAALADL2-AS2",1038
"NAALADL2-AS3",413
"NAB1",4358
"NAB2",2711
"NABP1",11521
"NABP2",1775
"NACA",6629
"NACA2",777
"NACA3P",648
"NACA4P",1555
"NACAD",4780
"NACAP10",663
"NACAP2",624
"NACAP5",636
"NACAP6",622
"NACAP7",609
"NACAP8",481
"NACC1",4445
"NACC2",6899
"NADK",3653
"NADK2",3614
"NADK2-AS1",720
"NADSYN1",3616
"NAE1",1909
"NAF1",2329
"NAGA",3694
"NAGK",4388
"NAGLU",2544
"NAGPA",3286
"NAGPA-AS1",521
"NAGS",2182
"NAIF1",3399
"NAIP",6124
"NALCN",6818
"NALCN-AS1",2846
"NALT1",738
"NAMA",2133
"NAMPT",4582
"NAMPTP1",2514
"NAMPTP2",1115
"NAMPTP3",224
"NANOG",5183
"NANOGNB",907
"NANOGNBP1",480
"NANOGNBP2",553
"NANOGNBP3",565
"NANOGP1",1786
"NANOGP10",895
"NANOGP11",727
"NANOGP2",727
"NANOGP3",286
"NANOGP4",913
"NANOGP5",877
"NANOGP6",847
"NANOGP7",918
"NANOGP8",918
"NANOGP9",892
"NANOS1",4017
"NANOS2",1657
"NANOS3",769
"NANP",3964
"NANS",3027
"NAP1L1",13505
"NAP1L1P1",1063
"NAP1L1P2",1089
"NAP1L1P3",880
"NAP1L2",2550
"NAP1L3",2639
"NAP1L4",2511
"NAP1L4P1",1157
"NAP1L4P2",899
"NAP1L4P3",1147
"NAP1L5",2321
"NAP1L6",2044
"NAPA",3898
"NAPA-AS1",1753
"NAPB",3883
"NAPEPLD",4988
"NAPG",3860
"NAPGP1",719
"NAPGP2",656
"NAPRT",1965
"NAPSA",3288
"NAPSB",1343
"NARF",3949
"NARF-AS1",838
"NARF-IT1",769
"NARS",3099
"NARS2",2519
"NARSP2",679
"NASP",3659
"NAT1",2280
"NAT10",4002
"NAT14",1536
"NAT16",2935
"NAT2",1322
"NAT8",947
"NAT8B",765
"NAT8L",5870
"NAT9",1993
"NATD1",4931
"NATP",878
"NAV1",13091
"NAV2",11171
"NAV2-AS1",660
"NAV2-AS2",782
"NAV2-AS3",598
"NAV2-AS4",1181
"NAV2-AS5",3307
"NAV2-IT1",506
"NAV3",9821
"NAXD",2659
"NAXE",1125
"NBAS",7281
"NBAT1",1940
"NBDY",1529
"NBEA",11119
"NBEAL1",10938
"NBEAL2",8827
"NBEAP1",3036
"NBEAP3",1493
"NBEAP5",233
"NBL1",2172
"NBN",4907
"NBPF1",5932
"NBPF10",13042
"NBPF11",5494
"NBPF12",7061
"NBPF13P",3808
"NBPF14",10779
"NBPF15",4707
"NBPF17P",2119
"NBPF18P",568
"NBPF19",14425
"NBPF20",18760
"NBPF21P",1451
"NBPF22P",1580
"NBPF25P",3827
"NBPF26",3671
"NBPF2P",661
"NBPF3",4401
"NBPF4",2485
"NBPF5P",1606
"NBPF6",2499
"NBPF7",1326
"NBPF8",5330
"NBPF9",5835
"NBR1",4656
"NBR2",1344
"NCALD",3808
"NCAM1",6045
"NCAM1-AS1",1081
"NCAM2",8135
"NCAN",6387
"NCAPD2",5548
"NCAPD2P1",1801
"NCAPD3",5539
"NCAPG",4661
"NCAPG2",5253
"NCAPGP1",1814
"NCAPGP2",754
"NCAPH",2952
"NCAPH2",2077
"NCBP1",5178
"NCBP2",4161
"NCBP2-AS1",562
"NCBP2AS2",918
"NCBP2L",660
"NCBP3",12770
"NCCRP1",1978
"NCDN",3683
"NCEH1",4687
"NCF1",2354
"NCF1B",1516
"NCF1C",1427
"NCF2",2276
"NCF4",1641
"NCF4-AS1",995
"NCK1",2403
"NCK1-DT",1194
"NCK2",2683
"NCKAP1",20347
"NCKAP1L",9016
"NCKAP5",7594
"NCKAP5-AS1",1711
"NCKAP5-AS2",560
"NCKAP5-IT1",554
"NCKAP5L",4900
"NCKIPSD",2989
"NCL",4034
"NCLN",4005
"NCLP1",1963
"NCLP2",1462
"NCMAP",4063
"NCMAP-DT",1445
"NCOA1",7405
"NCOA2",8447
"NCOA3",7939
"NCOA4",3549
"NCOA4P2",1813
"NCOA4P3",1877
"NCOA4P4",1861
"NCOA5",3220
"NCOA6",9311
"NCOA7",6457
"NCOA7-AS1",501
"NCOR1",10720
"NCOR1P1",406
"NCOR1P2",294
"NCOR1P3",303
"NCOR2",8533
"NCR1",1612
"NCR2",1154
"NCR3",1097
"NCR3LG1",6438
"NCS1",4991
"NCSTN",3031
"NCSTNP1",144
"NDC1",5134
"NDC80",2172
"NDE1",3936
"NDE1P2",1105
"NDEL1",3927
"NDFIP1",4164
"NDFIP1P1",525
"NDFIP2",4648
"NDFIP2-AS1",431
"NDN",1931
"NDNF",2885
"NDOR1",2497
"NDP",1833
"NDP-AS1",737
"NDRG1",3983
"NDRG2",2880
"NDRG3",2978
"NDRG4",5116
"NDST1",8030
"NDST1-AS1",368
"NDST2",3749
"NDST3",5961
"NDST4",3439
"NDUFA1",766
"NDUFA10",4915
"NDUFA11",2406
"NDUFA12",813
"NDUFA12P1",406
"NDUFA13",1166
"NDUFA2",804
"NDUFA3",963
"NDUFA3P1",252
"NDUFA3P2",232
"NDUFA3P3",250
"NDUFA3P4",250
"NDUFA3P6",250
"NDUFA4",2130
"NDUFA4L2",1200
"NDUFA4P2",244
"NDUFA5",5608
"NDUFA5P1",341
"NDUFA5P10",357
"NDUFA5P11",343
"NDUFA5P12",343
"NDUFA5P2",344
"NDUFA5P3",345
"NDUFA5P4",385
"NDUFA5P5",342
"NDUFA5P6",379
"NDUFA5P7",242
"NDUFA5P8",346
"NDUFA5P9",340
"NDUFA6",1256
"NDUFA6-DT",2950
"NDUFA7",601
"NDUFA8",844
"NDUFA8P1",367
"NDUFA9",8363
"NDUFA9P1",1135
"NDUFAB1",885
"NDUFAB1P1",460
"NDUFAF1",1585
"NDUFAF2",719
"NDUFAF3",2012
"NDUFAF4",2399
"NDUFAF4P1",519
"NDUFAF4P2",520
"NDUFAF4P3",525
"NDUFAF4P4",502
"NDUFAF5",5529
"NDUFAF6",2549
"NDUFAF7",2974
"NDUFAF8",741
"NDUFB1",1333
"NDUFB10",958
"NDUFB10P1",521
"NDUFB10P2",478
"NDUFB11",1388
"NDUFB11P1",465
"NDUFB1P1",180
"NDUFB1P2",176
"NDUFB2",1666
"NDUFB2-AS1",1648
"NDUFB2P1",295
"NDUFB3",755
"NDUFB4",1426
"NDUFB4P1",381
"NDUFB4P10",359
"NDUFB4P11",2079
"NDUFB4P12",390
"NDUFB4P2",391
"NDUFB4P3",390
"NDUFB4P4",243
"NDUFB4P5",361
"NDUFB4P6",366
"NDUFB4P7",363
"NDUFB4P8",367
"NDUFB4P9",388
"NDUFB5",4046
"NDUFB5P1",564
"NDUFB5P2",566
"NDUFB6",1366
"NDUFB7",531
"NDUFB8",829
"NDUFB8P1",545
"NDUFB8P2",538
"NDUFB9",1319
"NDUFB9P1",510
"NDUFB9P2",507
"NDUFB9P3",501
"NDUFC1",1257
"NDUFC2",2518
"NDUFC2-KCTD14",656
"NDUFS1",11819
"NDUFS2",2064
"NDUFS3",1769
"NDUFS4",833
"NDUFS5",548
"NDUFS5P1",289
"NDUFS5P2",306
"NDUFS5P3",321
"NDUFS5P4",318
"NDUFS5P5",321
"NDUFS5P6",295
"NDUFS6",1082
"NDUFS6P1",316
"NDUFS7",3743
"NDUFS8",3072
"NDUFV1",1748
"NDUFV2",942
"NDUFV2-AS1",779
"NDUFV2P1",907
"NDUFV3",4676
"NEAT1",22743
"NEB",26307
"NEBL",9216
"NEBL-AS1",661
"NECAB1",5289
"NECAB2",2064
"NECAB3",2142
"NECAP1",3129
"NECAP1P1",830
"NECAP1P2",727
"NECAP2",4619
"NECTIN1",5840
"NECTIN1-AS1",559
"NECTIN2",2466
"NECTIN3",3664
"NECTIN3-AS1",792
"NECTIN4",3502
"NEDD1",4046
"NEDD4",7235
"NEDD4L",8436
"NEDD8",2300
"NEDD8-MDP1",758
"NEDD9",4934
"NEFH",3783
"NEFHP1",2629
"NEFL",4082
"NEFLP1",984
"NEFM",4020
"NEFMP1",1006
"NEGR1",12811
"NEGR1-IT1",534
"NEIL1",3759
"NEIL2",2671
"NEIL3",2408
"NEK1",5653
"NEK10",4250
"NEK11",2914
"NEK2",2131
"NEK2P2",1338
"NEK2P4",1329
"NEK3",3256
"NEK4",6057
"NEK4P1",879
"NEK4P2",1012
"NEK4P3",544
"NEK5",4040
"NEK6",3619
"NEK7",4149
"NEK8",3581
"NEK9",8310
"NELFA",3343
"NELFB",2698
"NELFCD",3581
"NELFE",1855
"NELL1",3329
"NELL2",3612
"NEMF",6234
"NEMP1",5590
"NEMP2",6168
"NENF",949
"NENFP1",466
"NENFP2",440
"NENFP3",313
"NEO1",7342
"NEPNP",1371
"NEPRO",4992
"NES",5558
"NET1",3402
"NETO1",3058
"NETO2",7481
"NEU1",4616
"NEU2",1143
"NEU3",6728
"NEU4",3013
"NEURL1",4314
"NEURL1-AS1",640
"NEURL1B",6424
"NEURL2",1278
"NEURL3",1710
"NEURL4",5200
"NEUROD1",2852
"NEUROD2",6242
"NEUROD4",3953
"NEUROD6",2131
"NEUROG1",1668
"NEUROG2",2287
"NEUROG3",1376
"NEXMIF",11719
"NEXN",3195
"NEXN-AS1",2292
"NF1",12425
"NF1P1",2645
"NF1P10",742
"NF1P11",1282
"NF1P12",583
"NF1P2",2505
"NF1P3",450
"NF1P4",1681
"NF1P5",448
"NF1P6",1649
"NF1P7",1530
"NF1P8",1461
"NF1P9",2008
"NF2",6025
"NFAM1",5602
"NFASC",10333
"NFAT5",14219
"NFATC1",4819
"NFATC2",7525
"NFATC2IP",4569
"NFATC3",6328
"NFATC4",5700
"NFE2",1833
"NFE2L1",4774
"NFE2L2",2853
"NFE2L3",3686
"NFE2L3P1",1959
"NFE4",1072
"NFIA",9487
"NFIA-AS1",480
"NFIA-AS2",1275
"NFIB",8198
"NFIC",8068
"NFIL3",2085
"NFIX",5459
"NFKB1",4085
"NFKB2",3416
"NFKBIA",1558
"NFKBIB",2200
"NFKBID",1834
"NFKBIE",2581
"NFKBIL1",1478
"NFKBIZ",3923
"NFRKB",5093
"NFS1",3012
"NFU1",1467
"NFU1P1",774
"NFU1P2",469
"NFX1",4604
"NFXL1",3865
"NFYA",3811
"NFYAP1",972
"NFYB",3512
"NFYC",2363
"NFYC-AS1",1687
"NGB",1884
"NGDN",2763
"NGEF",3215
"NGF",1047
"NGF-AS1",2610
"NGFR",3417
"NGLY1",3196
"NGRN",7237
"NHEJ1",2113
"NHLH1",2563
"NHLH2",7226
"NHLRC1",1188
"NHLRC2",11051
"NHLRC3",3549
"NHLRC4",2097
"NHP2",865
"NHP2P1",462
"NHP2P2",460
"NHS",8860
"NHS-AS1",366
"NHSL1",7500
"NHSL2",3978
"NIBAN1",6928
"NIBAN2",3957
"NIBAN3",5115
"NICN1",2616
"NID1",5864
"NID2",4811
"NIF3L1",1680
"NIFK",1734
"NIFK-AS1",1411
"NIFKP1",889
"NIFKP2",856
"NIFKP3",865
"NIFKP4",1192
"NIFKP6",845
"NIFKP7",834
"NIFKP8",874
"NIFKP9",221
"NIM1K",2929
"NIN",10293
"NINJ1",2026
"NINJ2",1252
"NINL",4969
"NIP7",2402
"NIP7P1",512
"NIP7P2",544
"NIP7P3",515
"NIPA1",7613
"NIPA2",3233
"NIPA2P1",976
"NIPA2P2",1083
"NIPA2P4",1341
"NIPA2P5",464
"NIPAL1",5300
"NIPAL2",4581
"NIPAL3",5481
"NIPAL4",3274
"NIPBL",10435
"NIPSNAP1",2237
"NIPSNAP2",4255
"NIPSNAP3A",1633
"NIPSNAP3B",1752
"NISCH",5350
"NIT1",2081
"NIT2",7289
"NKAIN1",2589
"NKAIN1P1",582
"NKAIN2",3115
"NKAIN3",1988
"NKAIN3-IT1",7040
"NKAIN4",1430
"NKAP",5963
"NKAPD1",3739
"NKAPL",1639
"NKAPP1",2384
"NKD1",8595
"NKD2",2155
"NKG7",843
"NKILA",2598
"NKIRAS1",2391
"NKIRAS2",4213
"NKPD1",4687
"NKRF",3741
"NKTR",7964
"NKX1-1",1236
"NKX1-2",3364
"NKX2-1",2583
"NKX2-1-AS1",1775
"NKX2-2",2092
"NKX2-2-AS1",638
"NKX2-3",2097
"NKX2-4",2238
"NKX2-5",1709
"NKX2-6",906
"NKX2-8",1261
"NKX3-1",3271
"NKX3-2",2801
"NKX6-1",2628
"NKX6-2",2673
"NKX6-3",1683
"NLE1",5286
"NLGN1",8242
"NLGN1-AS1",815
"NLGN2",4642
"NLGN3",3913
"NLGN4X",5870
"NLGN4Y",6617
"NLGN4Y-AS1",532
"NLK",4047
"NLN",8661
"NLRC3",6602
"NLRC4",3581
"NLRC5",6822
"NLRP1",5444
"NLRP10",2350
"NLRP11",3777
"NLRP12",3801
"NLRP13",3533
"NLRP14",3628
"NLRP2",3744
"NLRP2B",3194
"NLRP3",4318
"NLRP3P1",1785
"NLRP4",3670
"NLRP5",3888
"NLRP6",2936
"NLRP7",3826
"NLRP8",3934
"NLRP9",3484
"NLRP9P1",2655
"NLRX1",4092
"NMB",1017
"NMBR",1354
"NMBR-AS1",222
"NMD3",3061
"NMD3P1",1488
"NMD3P2",761
"NME1",1645
"NME1-NME2",1193
"NME1P1",382
"NME2",866
"NME2P1",414
"NME3",1069
"NME4",1861
"NME5",1198
"NME6",2004
"NME7",4298
"NME8",2312
"NME9",2133
"NMI",2094
"NMNAT1",3781
"NMNAT1P1",876
"NMNAT1P2",860
"NMNAT1P3",888
"NMNAT1P4",840
"NMNAT1P5",841
"NMNAT2",5663
"NMNAT3",2454
"NMRAL1",1719
"NMRAL2P",1792
"NMRK1",2050
"NMRK2",1139
"NMS",485
"NMT1",4999
"NMT2",2907
"NMTRQ-TTG12-1",72
"NMTRS-TGA3-1",69
"NMU",816
"NMUR1",3298
"NMUR2",2073
"NNAT",1297
"NNMT",1867
"NNT",6483
"NNT-AS1",4769
"NOA1",3415
"NOB1",1734
"NOBOX",2076
"NOC2L",4201
"NOC2LP1",2235
"NOC2LP2",1944
"NOC3L",3455
"NOC4L",1632
"NOCT",1952
"NOD1",4610
"NOD2",4486
"NODAL",1665
"NOG",1892
"NOL10",3418
"NOL11",2947
"NOL12",2854
"NOL3",1592
"NOL4",3957
"NOL4L",6761
"NOL4L-DT",846
"NOL6",4741
"NOL7",1184
"NOL8",4598
"NOL8P1",3529
"NOL9",6649
"NOLC1",3967
"NOM1",6077
"NOMO1",4355
"NOMO2",4352
"NOMO3",4356
"NONO",3215
"NONOP2",1231
"NOP10",554
"NOP14",3538
"NOP14-AS1",3860
"NOP16",1258
"NOP2",3038
"NOP53",4185
"NOP53-AS1",540
"NOP56",2980
"NOP56P1",372
"NOP56P2",769
"NOP56P3",385
"NOP58",2046
"NOP9",6033
"NORAD",5339
"NOS1",12283
"NOS1AP",5559
"NOS2",4176
"NOS2P1",2110
"NOS2P2",340
"NOS2P3",3328
"NOS2P4",205
"NOS3",4388
"NOSIP",2615
"NOSTRIN",2537
"NOTCH1",9371
"NOTCH2",11389
"NOTCH2NLA",5042
"NOTCH2P1",624
"NOTCH3",8666
"NOTCH4",6745
"NOTO",2749
"NOTUM",2329
"NOVA1",6575
"NOVA2",7803
"NOX1",2529
"NOX3",2042
"NOX4",4184
"NOX5",8592
"NOXA1",1678
"NOXO1",1618
"NOXRED1",2023
"NPAP1",7526
"NPAP1L",1026
"NPAP1P2",1234
"NPAP1P3",1586
"NPAP1P4",3310
"NPAP1P6",3484
"NPAP1P7",823
"NPAS1",2117
"NPAS2",7983
"NPAS3",5847
"NPAS4",3303
"NPAT",6117
"NPB",2154
"NPBWR1",2687
"NPBWR2",1352
"NPC1",5157
"NPC1L1",5048
"NPC2",1436
"NPDC1",2187
"NPEPL1",4684
"NPEPPS",4698
"NPFF",592
"NPFFR1",8921
"NPFFR2",1922
"NPHP1",10006
"NPHP3",5197
"NPHP3-ACAD11",7784
"NPHP3-AS1",2957
"NPHP4",5548
"NPHS1",4276
"NPHS2",1855
"NPIPA1",5345
"NPIPA2",1110
"NPIPA3",1158
"NPIPA5",1088
"NPIPA7",1331
"NPIPA8",1565
"NPIPA9",1547
"NPIPB10P",1354
"NPIPB11",3653
"NPIPB12",1861
"NPIPB13",3584
"NPIPB14P",1212
"NPIPB15",1428
"NPIPB1P",1129
"NPIPB2",1216
"NPIPB3",1342
"NPIPB4",3606
"NPIPB5",5708
"NPIPB6",2016
"NPIPB7",1406
"NPIPB8",2058
"NPIPB9",2123
"NPIPP1",1214
"NPL",3027
"NPLOC4",5538
"NPM1",1758
"NPM1P1",234
"NPM1P10",865
"NPM1P11",855
"NPM1P12",834
"NPM1P13",865
"NPM1P14",866
"NPM1P17",602
"NPM1P18",732
"NPM1P19",712
"NPM1P2",867
"NPM1P21",762
"NPM1P22",952
"NPM1P23",849
"NPM1P24",894
"NPM1P25",854
"NPM1P26",738
"NPM1P27",830
"NPM1P28",840
"NPM1P29",803
"NPM1P30",828
"NPM1P31",764
"NPM1P32",604
"NPM1P33",872
"NPM1P34",893
"NPM1P35",868
"NPM1P36",835
"NPM1P37",874
"NPM1P38",865
"NPM1P39",867
"NPM1P4",812
"NPM1P40",733
"NPM1P41",831
"NPM1P42",862
"NPM1P43",786
"NPM1P45",559
"NPM1P46",865
"NPM1P47",856
"NPM1P48",853
"NPM1P49",714
"NPM1P5",838
"NPM1P50",867
"NPM1P51",744
"NPM1P52",846
"NPM1P6",871
"NPM1P8",837
"NPM1P9",844
"NPM2",1874
"NPM3",877
"NPNT",4598
"NPPA",855
"NPPB",694
"NPPC",1051
"NPR1",4236
"NPR2",3686
"NPR3",7344
"NPRL2",3113
"NPRL3",3203
"NPS",270
"NPSR1",1567
"NPSR1-AS1",4821
"NPTN",2817
"NPTN-IT1",2283
"NPTX1",5122
"NPTX2",2700
"NPTXR",5784
"NPVF",1190
"NPW",1015
"NPY",705
"NPY1R",3029
"NPY2R",3626
"NPY4R",1956
"NPY4R2",1956
"NPY5R",3183
"NPY6R",2988
"NQO1",2912
"NQO2",10084
"NR0B1",2021
"NR0B2",1156
"NR1D1",2772
"NR1D2",5258
"NR1H2",2380
"NR1H3",2731
"NR1H4",2884
"NR1H5P",1377
"NR1I2",4417
"NR1I3",1473
"NR2C1",4143
"NR2C2",8113
"NR2C2AP",1565
"NR2E1",3212
"NR2E3",2064
"NR2F1",3732
"NR2F1-AS1",3380
"NR2F2",5275
"NR2F2-AS1",1930
"NR2F6",2404
"NR3C1",7286
"NR3C2",5909
"NR4A1",4837
"NR4A2",3472
"NR4A3",5706
"NR5A1",3104
"NR5A2",5086
"NR6A1",7031
"NRAD1",3208
"NRADDP",691
"NRAP",5580
"NRARP",1770
"NRAS",4449
"NRAV",1901
"NRBF2",1853
"NRBF2P1",859
"NRBF2P2",861
"NRBF2P3",865
"NRBF2P4",850
"NRBF2P5",788
"NRBP1",2887
"NRBP2",3877
"NRCAM",6685
"NRDC",3895
"NRDE2",14208
"NREP",3564
"NREP-AS1",610
"NRF1",3568
"NRG1",5931
"NRG1-IT1",758
"NRG1-IT3",505
"NRG2",3723
"NRG3",3530
"NRG3-AS1",555
"NRG4",3406
"NRGN",1306
"NRIP1",7671
"NRIP2",2746
"NRIP3",3809
"NRIR",799
"NRK",8062
"NRL",2103
"NRM",1755
"NRN1",1795
"NRN1L",710
"NRON",370
"NRP1",5882
"NRP2",6662
"NRROS",2564
"NRSN1",2408
"NRSN2",2088
"NRSN2-AS1",762
"NRTN",1109
"NRXN1",9375
"NRXN2",6621
"NRXN3",8504
"NSA2",4594
"NSD1",12892
"NSD2",8568
"NSD3",10776
"NSDHL",1929
"NSF",3983
"NSFL1C",3799
"NSFP1",1471
"NSG1",4172
"NSG2",2452
"NSL1",2317
"NSMAF",3569
"NSMCE1",1853
"NSMCE1-DT",2594
"NSMCE2",1195
"NSMCE3",1681
"NSMCE4A",2399
"NSMF",3646
"NSRP1",2541
"NSRP1P1",1693
"NSUN2",3558
"NSUN3",3289
"NSUN4",4344
"NSUN5",2286
"NSUN5P1",4792
"NSUN5P2",1789
"NSUN6",2201
"NSUN7",3698
"NT5C",1315
"NT5C1A",1107
"NT5C1B",2678
"NT5C1B-RDH14",2142
"NT5C2",3435
"NT5C3A",1909
"NT5C3AP1",1663
"NT5C3B",1729
"NT5CP1",509
"NT5CP2",561
"NT5DC1",6923
"NT5DC2",2047
"NT5DC3",7207
"NT5DC4",2448
"NT5E",3918
"NT5M",1635
"NTAN1",2398
"NTAN1P1",646
"NTAN1P2",940
"NTAN1P3",715
"NTF3",1336
"NTF4",1748
"NTF6A",560
"NTF6B",560
"NTF6G",616
"NTHL1",1067
"NTM",3190
"NTM-AS1",703
"NTM-IT",373
"NTMT1",1562
"NTN1",5954
"NTN3",1986
"NTN4",3615
"NTN5",2426
"NTNG1",4703
"NTNG2",4792
"NTPCR",8705
"NTRK1",3052
"NTRK2",8633
"NTRK3",19984
"NTRK3-AS1",2663
"NTS",1237
"NTSR1",4132
"NTSR2",1569
"NUAK1",6828
"NUAK2",3405
"NUB1",3210
"NUBP1",1228
"NUBP2",2235
"NUBPL",5032
"NUCB1",2668
"NUCB1-AS1",433
"NUCB2",3256
"NUCKS1",6496
"NUCKS1P1",703
"NUDC",1800
"NUDCD1",4217
"NUDCD2",8005
"NUDCD3",8256
"NUDT1",872
"NUDT10",2001
"NUDT11",2385
"NUDT12",3492
"NUDT13",2258
"NUDT14",1042
"NUDT15",2098
"NUDT16",6108
"NUDT16L1",2040
"NUDT16P1",2208
"NUDT17",1473
"NUDT18",1754
"NUDT19",2967
"NUDT19P3",555
"NUDT19P4",585
"NUDT19P5",569
"NUDT2",1075
"NUDT21",4436
"NUDT22",2055
"NUDT3",9905
"NUDT4",9753
"NUDT4B",546
"NUDT4P2",546
"NUDT5",3433
"NUDT6",5306
"NUDT7",1096
"NUDT8",1465
"NUDT9",2458
"NUDT9P1",745
"NUF2",1969
"NUFIP1",3492
"NUFIP1P1",1479
"NUFIP2",10850
"NUGGC",3887
"NUMA1",7343
"NUMB",5172
"NUMBL",3561
"NUP107",6457
"NUP133",5207
"NUP153",6030
"NUP155",8143
"NUP160",5376
"NUP188",5689
"NUP205",6266
"NUP210",7193
"NUP210L",5889
"NUP210P1",876
"NUP210P2",282
"NUP210P3",388
"NUP214",7600
"NUP35",2828
"NUP35P1",947
"NUP35P2",943
"NUP37",2372
"NUP42",2529
"NUP43",3874
"NUP50",5233
"NUP50-DT",2076
"NUP54",2367
"NUP58",6360
"NUP58P1",1738
"NUP62",3590
"NUP62CL",1755
"NUP85",2233
"NUP88",2916
"NUP93",8257
"NUP98",7023
"NUPR1",5491
"NUPR2",603
"NUS1",4676
"NUS1P1",882
"NUS1P2",873
"NUS1P3",862
"NUS1P4",585
"NUSAP1",2409
"NUTF2",2608
"NUTF2P2",384
"NUTF2P3",384
"NUTF2P4",381
"NUTF2P5",379
"NUTF2P6",385
"NUTF2P7",375
"NUTF2P8",363
"NUTM1",4196
"NUTM2A",3974
"NUTM2A-AS1",2394
"NUTM2B",3970
"NUTM2B-AS1",7611
"NUTM2D",5543
"NUTM2E",3623
"NUTM2F",2561
"NUTM2G",2851
"NUTM2HP",2498
"NVL",3123
"NWD1",8393
"NWD2",8325
"NXF1",4128
"NXF2",2337
"NXF2B",3193
"NXF3",2276
"NXF4",3617
"NXF5",2062
"NXN",3036
"NXNL1",946
"NXNL2",1457
"NXNP1",1051
"NXPE1",2289
"NXPE2",1873
"NXPE2P1",726
"NXPE3",8152
"NXPE4",1822
"NXPH1",2921
"NXPH2",1052
"NXPH3",5194
"NXPH4",2007
"NXT1",1123
"NXT1P1",316
"NXT2",2692
"NYAP1",3581
"NYAP2",4828
"NYNRIN",7857
"NYX",2713
"OACYLP",2208
"OAF",2525
"OARD1",3330
"OAS1",2416
"OAS2",4734
"OAS3",6719
"OASL",3266
"OAT",2048
"OAZ1",2832
"OAZ2",7102
"OAZ3",3790
"OBI1",3529
"OBI1-AS1",6001
"OBP2A",914
"OBP2B",961
"OBSCN",26933
"OBSCN-AS1",2893
"OBSL1",5841
"OC90",1782
"OCA2",3186
"OCEL1",1485
"OCIAD1",1916
"OCIAD1-AS1",265
"OCIAD2",1886
"OCLM",884
"OCLN",6438
"OCLNP1",679
"OCM",695
"OCM2",696
"OCRL",5162
"OCSTAMP",2043
"ODAM",1319
"ODAPH",1874
"ODC1",2653
"ODC1-DT",1737
"ODCP",1639
"ODF1",1013
"ODF2",3899
"ODF2-AS1",407
"ODF2L",7560
"ODF3",3053
"ODF3B",1722
"ODF3L1",1196
"ODF3L2",1604
